Date,Accounting_Period,Accounting_Period_Label,Product,Department,Category,GL_Code,Account,Type,Cost_Class,Budget,Actual,Forecast,Notes
2025-01-31,2025-01,Jan 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,256898.76,264610.36,261731.36,Topline
2025-02-28,2025-02,Feb 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,249651.2,236647.58,250289.51,Topline
2025-03-31,2025-03,Mar 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,262656.24,262479.72,258175.09,Topline
2025-04-30,2025-04,Apr 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,272167.75,280635.35,272527.18,Topline
2025-05-31,2025-05,May 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,274139.38,279265.89,269428.07,Topline
2025-06-30,2025-06,Jun 25,Product A,Sales,Product Revenue,4000,Product Revenue,Revenue,—,268105.47,257822.2,272815.82,Topline
2025-01-31,2025-01,Jan 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,50204.38,46102.11,53273.23,
2025-01-31,2025-01,Jan 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,43714.91,41867.69,44878.4,
2025-01-31,2025-01,Jan 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,57563.93,60539.9,63728.01,
2025-02-28,2025-02,Feb 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,20860.62,18823.52,21503.1,
2025-02-28,2025-02,Feb 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,58164.9,52300.79,55767.11,
2025-02-28,2025-02,Feb 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,29217.8,31122.17,28245.56,
2025-03-31,2025-03,Mar 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,47228.8,48468.2,49286.62,
2025-03-31,2025-03,Mar 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,55024.6,55470.82,55820.03,
2025-03-31,2025-03,Mar 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,22606.91,21739.7,22075.23,
2025-04-30,2025-04,Apr 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,45568.4,53743.05,43595.67,
2025-04-30,2025-04,Apr 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,36993.72,35507.08,37294.76,
2025-04-30,2025-04,Apr 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,41053.09,44961.42,40337.28,
2025-05-31,2025-05,May 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,45035.61,44001.75,42163.05,
2025-05-31,2025-05,May 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,34712.0,36782.89,34959.19,
2025-05-31,2025-05,May 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,28353.57,28892.99,29240.46,
2025-06-30,2025-06,Jun 25,Product A,Sales,Materials,5000,Materials,COGS,Direct,48174.33,44347.79,47299.83,
2025-06-30,2025-06,Jun 25,Product A,Sales,Freight,5000,Freight,COGS,Direct,32786.59,34702.53,32017.08,
2025-06-30,2025-06,Jun 25,Product A,Sales,Packaging,5000,Packaging,COGS,Direct,24508.69,25821.96,25324.07,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,44691.21,44263.68,40920.76,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,36797.05,32393.56,37532.57,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,26319.65,30423.08,25850.82,
